REF_AREA_LABEL,INDEX_COMP_LABEL,INDICATOR_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Jamaica,Non-communicable diseases,Universal health coverage (UHC) service coverage index,64.0,65.0,65.0,66.0,66.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0
Nicaragua,Full index,Universal health coverage (UHC) service coverage index,59.0,59.0,60.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,68.0,70.0,71.0,70.0,71.0,72.0,70.0,71.0,71.0,71.0,72.0,70.0
Belize,Full index,Universal health coverage (UHC) service coverage index,64.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,69.0,68.0,69.0,70.0,70.0,69.0,69.0,68.0,68.0,68.0,69.0,70.0,70.0
Myanmar,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,55.0,58.0,62.0,65.0,66.0,66.0,67.0,68.0,68.0,69.0,70.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,65.0,69.0,69.0
Ethiopia,Non-communicable diseases,Universal health coverage (UHC) service coverage index,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,70.0,70.0,71.0,71.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
Suriname,Infectious diseases,Universal health coverage (UHC) service coverage index,75.0,75.0,76.0,77.0,78.0,78.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,85.0,86.0,87.0,87.0,88.0,89.0,89.0,89.0,89.0,89.0
Paraguay,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,79.0,80.0,80.0,81.0,82.0,83.0,84.0,83.0,83.0,82.0,83.0,83.0,83.0,84.0,84.0,85.0,84.0,84.0,85.0,85.0,84.0,83.0,84.0,84.0
Bolivia,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,45.0,46.0,47.0,51.0,51.0,50.0,50.0,52.0,54.0,59.0,58.0,57.0,61.0,62.0,61.0,61.0,68.0,68.0,69.0,68.0,67.0,69.0,69.0,69.0
Maldives,Non-communicable diseases,Universal health coverage (UHC) service coverage index,36.0,37.0,38.0,39.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,53.0,54.0,55.0,55.0,56.0,56.0
Latvia,Service capacity and access,Universal health coverage (UHC) service coverage index,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,92.0,94.0,95.0,97.0,97.0,97.0,97.0,91.0,92.0,92.0,88.0,88.0,88.0
New Zealand,Non-communicable diseases,Universal health coverage (UHC) service coverage index,52.0,54.0,56.0,58.0,59.0,61.0,62.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,70.0,71.0,72.0,72.0,73.0,73.0,74.0,74.0,75.0,75.0
Solomon Islands,Non-communicable diseases,Universal health coverage (UHC) service coverage index,34.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,38.0
Brunei Darussalam,Infectious diseases,Universal health coverage (UHC) service coverage index,73.0,74.0,75.0,76.0,78.0,79.0,80.0,81.0,82.0,84.0,85.0,86.0,87.0,89.0,90.0,91.0,92.0,93.0,95.0,96.0,97.0,98.0,99.0,100.0
Cuba,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,88.0,88.0,89.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,89.0,89.0,88.0,88.0,87.0,87.0,86.0,86.0,86.0,86.0
Iraq,Non-communicable diseases,Universal health coverage (UHC) service coverage index,57.0,58.0,58.0,59.0,59.0,60.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
Bahrain,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,68.0,69.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
United Arab Emirates,Full index,Universal health coverage (UHC) service coverage index,73.0,74.0,74.0,74.0,74.0,71.0,71.0,72.0,72.0,73.0,72.0,74.0,76.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,84.0,84.0,84.0
Portugal,"Reproductive, maternal, newborn, and child health",Universal health coverage (UHC) service coverage index,75.0,76.0,77.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,83.0,83.0,83.0,84.0,84.0,84.0
Palau,Service capacity and access,Universal health coverage (UHC) service coverage index,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,92.0,97.0,94.0,97.0,97.0,97.0,97.0,84.0,86.0,86.0,78.0,80.0,83.0
Colombia,Service capacity and access,Universal health coverage (UHC) service coverage index,58.0,58.0,59.0,60.0,61.0,61.0,62.0,63.0,64.0,65.0,65.0,56.0,65.0,68.0,71.0,75.0,78.0,79.0,72.0,74.0,77.0,75.0,77.0,75.0
"Yemen, Rep.",Infectious diseases,Universal health coverage (UHC) service coverage index,43.0,44.0,44.0,45.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0
Cambodia,Service capacity and access,Universal health coverage (UHC) service coverage index,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.0,31.0,32.0,33.0,34.0,34.0,33.0,33.0,35.0,38.0,42.0,34.0,35.0,34.0,36.0,37.0,38.0
